Country,Technology,Year,Public Investments (2020 million USD)
Austria,Renewable hydropower,2014,346.64
Austria,Renewable hydropower,2015,182.96
Austria,Renewable hydropower,2016,0.0
Austria,Renewable hydropower,2017,0.0
Austria,Renewable hydropower,2018,0.0
Austria,Renewable hydropower,2019,0.0
Austria,Renewable hydropower,2020,0.0
Austria,Renewable hydropower,2021,0.0
Austria,Pumped storage,2000,0.0
Austria,Pumped storage,2001,0.0
Austria,Pumped storage,2002,0.0
Austria,Pumped storage,2003,0.0
Austria,Pumped storage,2004,0.0
Austria,Pumped storage,2005,0.0
Austria,Pumped storage,2006,0.0
Austria,Pumped storage,2007,0.0
Austria,Pumped storage,2008,0.0
Austria,Pumped storage,2009,0.0
Austria,Pumped storage,2010,0.0
Austria,Pumped storage,2011,0.0
Austria,Pumped storage,2012,187.78
Austria,Pumped storage,2013,0.0
Austria,Pumped storage,2014,0.0
Austria,Pumped storage,2015,0.0
Austria,Pumped storage,2016,0.0
Austria,Pumped storage,2017,0.0
Austria,Pumped storage,2018,0.0
Austria,Pumped storage,2019,0.0
Austria,Pumped storage,2020,0.0
Austria,Pumped storage,2021,0.0
Austria,Marine energy,2000,0.0
Austria,Marine energy,2001,0.0
Austria,Marine energy,2002,0.0
Austria,Marine energy,2003,0.0
Austria,Marine energy,2004,0.0
Austria,Marine energy,2005,0.0
Austria,Marine energy,2006,0.0
Austria,Marine energy,2007,0.0
Austria,Marine energy,2008,0.0
Austria,Marine energy,2009,0.0
Austria,Marine energy,2010,0.0
Austria,Marine energy,2011,0.0
Austria,Marine energy,2012,0.0
Austria,Marine energy,2013,0.0
Austria,Marine energy,2014,0.0
Austria,Marine energy,2015,0.0
Austria,Marine energy,2016,0.0
Austria,Marine energy,2017,0.0
Austria,Marine energy,2018,0.0
Austria,Marine energy,2019,0.0
Austria,Marine energy,2020,0.0
Austria,Marine energy,2021,0.0
Austria,Other primary solid biofuels n.e.s.,2000,0.0
Austria,Other primary solid biofuels n.e.s.,2001,0.0
Austria,Other primary solid biofuels n.e.s.,2002,0.0
Austria,Other primary solid biofuels n.e.s.,2003,0.0
Austria,Other primary solid biofuels n.e.s.,2004,0.0
Austria,Other primary solid biofuels n.e.s.,2005,0.0
Austria,Other primary solid biofuels n.e.s.,2006,0.0
